name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Proteus sp. ZN5	2697019	S	35	8	43	0.00000
Proteus sp. CD3	1921565	S	24	3	27	0.00000
Proteus hauseri	183417	S	31	0	31	0.00000
Proteus appendicitidis	3034648	S	31	4	35	0.00000
Providencia sp. PROV046	2949776	S	8131	15210	23341	0.00022
Providencia sp. PROV024	2949758	S	1792	2675	4467	0.00004
Providencia sp. PROV040	2949771	S	940	1327	2267	0.00002
Providencia sp. PROV188	2939731	S	865	13	878	0.00001
Providencia sp. PROV170	2936792	S	760	224869	225629	0.00211
Providencia sp. PROV278	2936803	S	306	10713	11019	0.00010
Providencia sp. PROV103	2936788	S	287	86188	86475	0.00081
Providencia sp. PROV175	2949878	S	232	228	460	0.00000
Providencia sp. PROV101	2936786	S	204	33894	34098	0.00032
Providencia sp. PROV099	2949815	S	174	1126	1300	0.00001
Providencia sp. PROV114	2949825	S	96	65	161	0.00000
Providencia sp. PROV083	2936783	S	57	3550	3607	0.00003
Providencia sp. PROV161	2936790	S	55	12040	12095	0.00011
Providencia sp. PROV007	2936770	S	52	21174	21226	0.00020
Providencia sp. 21OH12SH02B-Prov	3015951	S	50	76	126	0.00000
Providencia sp. PROV224	2936796	S	45	9738	9783	0.00009
Providencia sp. R33	2828763	S	26	0	26	0.00000
Providencia sp. PROV100	2936785	S	25	13190	13215	0.00012
Providencia sp. PROV252	2936799	S	18	1	19	0.00000
Providencia sp. PROV048	2936775	S	11	1557	1568	0.00001
Providencia stuartii	588	S	8707	6799	15506	0.00014
Providencia rettgeri	587	S	3347	1969	5316	0.00005
Providencia sneebia	516075	S	2764	16	2780	0.00003
Candidatus Providencia siddallii	1715285	S	1654	8	1662	0.00002
Providencia alcalifaciens	126385	S	1073	37	1110	0.00001
Providencia rustigianii	158850	S	129	4	133	0.00000
Providencia heimbachae	333962	S	44	1	45	0.00000
Providencia vermicola	333965	S	37	56	93	0.00000
Arsenophonus endosymbiont of Crataerina pallida	3066235	S	8215	433	8648	0.00008
Arsenophonus endosymbiont of Aphis craccivora	1231049	S	4075	182	4257	0.00004
Arsenophonus endosymbiont of Aleurodicus dispersus	235559	S	3293	13	3306	0.00003
