name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Methylobacterium sp. 391_Methyba4	3038924	S	200	1663	1863	0.00016
Methylobacterium sp. XJLW	739141	S	155	2724	2879	0.00025
Methylobacterium sp.	409	S	57	3	60	0.00001
Methylobacterium sp. OT2	2813779	S	33	194	227	0.00002
Methylobacterium sp. 4-46	426117	S	12	4172	4184	0.00037
Methylobacterium aquaticum	270351	S	4020	1721	5741	0.00050
Methylobacterium nodulans	114616	S	3872	500	4372	0.00038
Methylobacterium currus	2051553	S	3010	1292	4302	0.00038
Methylobacterium durans	2202825	S	2774	474	3248	0.00028
Methylobacterium radiodurans	2202828	S	2450	691	3141	0.00027
Methylobacterium indicum	1775910	S	2370	1095	3465	0.00030
Methylobacterium terrae	2202827	S	2077	935	3012	0.00026
Methylobacterium organophilum	410	S	2069	1231	3300	0.00029
Methylobacterium mesophilicum	39956	S	1993	385	2378	0.00021
Methylobacterium brachiatum	269660	S	1966	952	2918	0.00025
Methylobacterium tardum	374432	S	1811	657	2468	0.00022
Methylobacterium bullatum	570505	S	1577	247	1824	0.00016
Methylobacterium oryzae	334852	S	1389	2460	3849	0.00034
Methylobacterium radiotolerans	31998	S	697	2282	2979	0.00026
Methylobacterium fujisawaense	107400	S	509	1375	1884	0.00016
Methylobacterium phyllosphaerae	418223	S	200	938	1138	0.00010
Microvirga sp. VF16	2807101	S	2563	484	3047	0.00027
Microvirga sp. 17 mud 1-3	2082949	S	1567	429	1996	0.00017
Microvirga ossetica	1882682	S	3101	588	3689	0.00032
Microvirga lotononidis	864069	S	2176	639	2815	0.00025
Microvirga terrae	2740529	S	2056	568	2624	0.00023
Microvirga thermotolerans	2651334	S	1996	648	2644	0.00023
Microvirga roseola	2883126	S	217	10	227	0.00002
Methylorubrum populi	223967	S	3473	2121	5594	0.00049
Methylorubrum extorquens	408	S	3017	3390	6407	0.00056
Methylorubrum sp. B1-46	2897334	S	1215	545	1760	0.00015
Methylorubrum sp. GM97	2938232	S	73	731	804	0.00007
Pseudolabrys taiwanensis	331696	S	19737	4225	23962	0.00209
Pseudolabrys sp. FHR47	2562284	S	11848	2655	14503	0.00127
Ancylobacter sp. TS-1	1850374	S	2027	998	3025	0.00026
Ancylobacter sp. SL191	2995166	S	1194	862	2056	0.00018
Ancylobacter sp. WKF20	3039801	S	1165	845	2010	0.00018
Ancylobacter novellus	921	S	2678	1133	3811	0.00033
